时间,世界杯_热度,世界杯_排名
2026-06-11 00:00:00,59167,21
2026-06-11 01:00:00,86010,18
2026-06-11 02:00:00,72782,48
2026-06-11 03:00:00,85430,14
2026-06-11 04:00:00,82416,26
2026-06-11 05:00:00,94747,49
2026-06-11 06:00:00,94905,48
2026-06-11 07:00:00,244296,15
2026-06-11 08:00:00,251742,4
2026-06-11 09:00:00,196977,15
2026-06-11 10:00:00,168545,12
2026-06-11 11:00:00,200362,41
2026-06-11 12:00:00,233617,35
2026-06-11 13:00:00,272960,26
2026-06-11 14:00:00,234601,48
2026-06-11 15:00:00,163770,29
2026-06-11 16:00:00,153817,12
2026-06-11 17:00:00,168595,49
2026-06-11 18:00:00,170666,27
2026-06-11 19:00:00,305602,19
2026-06-11 20:00:00,334201,26
2026-06-11 21:00:00,284403,34
2026-06-11 22:00:00,248465,20
2026-06-11 23:00:00,278598,12
2026-06-12 00:00:00,64415,15
2026-06-12 01:00:00,71434,2
2026-06-12 02:00:00,72551,7
2026-06-12 03:00:00,54594,3
2026-06-12 04:00:00,68074,48
2026-06-12 05:00:00,58347,34
2026-06-12 06:00:00,57963,49
2026-06-12 07:00:00,166675,50
2026-06-12 08:00:00,130036,35
2026-06-12 09:00:00,106128,3
2026-06-12 10:00:00,101847,41
2026-06-12 11:00:00,124214,31
2026-06-12 12:00:00,179648,30
2026-06-12 13:00:00,121776,3
2026-06-12 14:00:00,185641,12
2026-06-12 15:00:00,122420,27
2026-06-12 16:00:00,85223,16
2026-06-12 17:00:00,82531,9
2026-06-12 18:00:00,124685,35
2026-06-12 19:00:00,172604,9
2026-06-12 20:00:00,213067,26
2026-06-12 21:00:00,185115,3
2026-06-12 22:00:00,239845,35
2026-06-12 23:00:00,176788,15
